Survey ID,WHO region,Country/Year,Age inclusion,World Bank country classification,TB incidence (per 100k),Percent urban,Case definition,Diagnostic tests,Urban (n/N),Rural (n/N),Urban Prevalence (per 100k),Rural Prevalence (per 100k),Crude Urban: Rural Ratio,Risk of bias
26975,South-East Asia,Thailand (National) 2012-2012,15+,Upper-middle income,172,45.4%,Unadjusted bacteriologically-confirmed TB prevalence,"Xpert, Culture and Smear",21/NA,121/NA,240,224,1.1,Not low
28646,Western Pacific,Cambodia (National) 2023-2024,15+,Lower-middle income,272,26.0%,Adjusted bacteriologically-confirmed TB prevalence,Xpert and Culture,78/13158,117/21678,596,509,1.2,Low
26740,Western Pacific,China (Multiple Areas) 2013-2013,65+,Upper-middle income,70,53.0%,Unadjusted bacteriologically-confirmed TB prevalence,Culture and Smear,14/12933,48/21336,108,224,0.5,Not low
26981,Western Pacific,China (National) 2000-2000,15+,Low income,107,35.9%,Adjusted bacteriologically-confirmed TB prevalence,Culture and Smear,NA/NA,NA/NA,152,224,0.7,Low
26949,Western Pacific,China (National) 2010-2010,15+,Lower-middle income,76,49.2%,Adjusted bacteriologically-confirmed TB prevalence,Culture and Smear,NA/NA,NA/NA,73,163,0.4,Low
26951,Western Pacific,China (Shandong Province) 2010-2010,15+,Lower-middle income,76,49.2%,Adjusted bacteriologically-confirmed TB prevalence,Culture and Smear,NA/26101,NA/28178,9,43,0.2,Low
24214,Western Pacific,China (Xinjiang Uyghur Region) 2010-2011,15+,Lower-middle income,76,49.2%,Adjusted bacteriologically-confirmed TB prevalence,Culture and Smear,NA/8405,NA/12104,109,506,0.2,Low
26905,Western Pacific,Lao Pdr (National) 2010-2011,15+,Low income,221,30.1%,Adjusted bacteriologically-confirmed TB prevalence,Culture and Smear,42/10209,195/29003,436,663,0.7,Low
26866,Western Pacific,Mongolia (National) 2014-2015,15+,Lower-middle income,428,68.2%,Count of bacteriologically-confirmed TB cases,"Xpert, Culture and Smear",142/27112,106/23197,523,456,1.1,Low
26868,Western Pacific,Philippines (National) 2016-2016,15+,Lower-middle income,554,46.5%,Count of bacteriologically-confirmed TB cases,"Xpert, Culture and Smear",244/21526,222/25163,1133,882,1.3,Low
26944,Western Pacific,Phillipines (National) 2007-2007,10+,Lower-middle income,520,45.5%,Adjusted bacteriologically-confirmed TB prevalence,Culture and Smear,NA/8331,NA/11635,670,650,1.0,Not low
26973,Western Pacific,Viet Nam (National) 2006-2007,15+,Low income,260,27.9%,Adjusted bacteriologically-confirmed TB prevalence,Culture and Smear,72/26357,197/67822,282,344,0.8,Low
24644,Western Pacific,Viet Nam (National) 2017-2018,15+,Lower-middle income,182,35.9%,Count of bacteriologically-confirmed TB cases,"Xpert, Culture and Smear",90/18656,131/43107,482,303,1.6,Low
