Covidence #,Study ID,Title,1.3. Paper Title:,1.4. Publication Year:,3.3. Country(ies) of study:,3.4. Study Setting,3.5. What was the geographic coverage of the study?,figure.id
26936,Sekandi 2014,Yield of undetected tuberculosis and human immunodeficiency virus coinfection from active case finding in urban Uganda,"Yield of undetected tuberculosis and human 
immunodeficiency virus coinfection from active 
case finding in urban Uganda",2014,Uganda,"We conducted a door-to-door cross-sectional survey of chronic cough in the Rubaga community located in Kampala City, Uganda, from January 2008 to June 2009. The division is subdivided into 13 parishes and 128 villages, with approximately 75 485 households and 400 000 people. About 50% of the population are adults aged ⩾15 years.22 Individuals can access TB and HIV diagnostic services from two public health centres free of charge or two tertiary private hospitals for a fee. Free treatment is provided in both private and public facilities.","Single area (e.g., province, district, city)",Uganda (Rubaga)
26935,Sebhatu 2007,Determining the burden of tuberculosis in Eritrea: a new approach,Determining the burden of tuberculosis in Eritrea: a new approach,2007,Eritrea,"Eritrea is located in the Horn of Africa. The country had a population of 
3,158,590 in 2004. Eighty percent of the population works in the agricultural sector. Eritrea is divided into six zobas, which are split into 57 sub-zobas and 699 administrative areas. Each administrative area comprises several villages.",Nationally representative,Eritrea (National)
26933,Romero-Sandoval 2007,Pulmonary tuberculosis in an indigenous community in the mountains of Ecuador,Pulmonary tuberculosis in an indigenous community in the mountains of Ecuador,2007,Ecuador,"Chine is located 250 km from Quito, at an altitude of 3500 m. The 653 inhabitants are mainly Spanish- speaking, and are descended from the Panzaleos and Puruhaes ethnic aboriginal groups.9 Chine is 2 h walk from the nearest road. Except for electricity, there are no basic services (running water, toilets, etc.) The main economic activities in Chine are agriculture and the raising of sheep, pigs and smaller animals for private consumption. ","Single area (e.g., province, district, city)",Ecuador (Chine)
26932,RekhaDevi 2013,Active detection of tuberculosis and paragonimiasis in the remote areas in North-Eastern India using cough as a simple indicator,Active detection of tuberculosis and paragonimiasis in the remote areas in North-Eastern India using cough as a simple indicator,2013,India,"We performed a cross-sectional study between July
2008 and June 2010 in two states, AP and Assam,
located in the NE region of India. In AP, which is
predominantly a hilly state, six districts (Changlang,
East Kameng, East Siang, Lohit, Tirap, and West
Kameng) were randomly
selected","Single area (e.g., province, district, city)",India (Andhra Pradesh State) 
26931,Rao 2010,"Pulmonary tuberculosis: a public health problem amongst the Saharia, a primitive tribe of Madhya Pradesh, Central India","Pulmonary tuberculosis: a public health problem amongst the Saharia, a primitive tribe of Madhya Pradesh, Central India",2010,India,"The study was carried out in the Karhal block, Sheopur District
from November 2007 to March 2008. Karhal is situated about
40 km from the District headquarters. The terrain is difficult, with
most of the villages located in remote jungle areas having poor
connectivity by road, which remain cut off from the surrounding
areas during the rainy season.","Single area (e.g., province, district, city)",India (Karachal)
26930,Rao 2010,"Prevalence of pulmonary tuberculosis among the Bharia, a primitive tribe of Madhya Pradesh, central India","Prevalence of pulmonary tuberculosis among the Bharia, a primitive tribe of Madhya Pradesh, central India",2010,India,"The study was carried out in the villages of the Patalkot valley of Chhindwara District, Madhya Pradesh, from January to April 2008. Patalkot is a bow-shaped formation on the Satpura plateau, 62 km from the district headquarters, and spreads over an area of 79 km2","Single area (e.g., province, district, city)",India (Patalkot)
26929,Rao 2012,Prevalence of pulmonary tuberculosis--a baseline survey in central India,Prevalence of Pulmonary Tuberculosis - A Baseline Survey In Central India,2012,India,"This cross sectional study was conducted in the urban and rural populations of Jabalpur district from January 2009 to January 2010. There are four taluqs (sub-divisions) and 1386 villages in the district. The total area of the district is 10,160 Km2, with a population of over 2.1 million (2001 census). The proportion of rural and urban population in the district is 43% and 57% respectively.","Single area (e.g., province, district, city)",India (Jabalpur District)
26928,,Prevalence of pulmonary tuberculosis among the adult population in Pakistan 2010-2011,Prevalence of pulmonary tuberculosis among the adult population of Pakistan 2010-2011,2013,Pakistan,Pakistan ranks 5th amongst the 22 highest tuberculosis (TB) burden countries. ,Nationally representative,Pakistan (National) 
26924,Nduba 2015,"Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs","Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs",2015,Kenya,"Demographic and Health Survey site at Karemo Division, Siaya District, Nyanza Province, in western Kenya. ","Single area (e.g., province, district, city)",Kenya (Karemo)
26920,MinistryofHealthandSocialWelfare-TheGambia 2014,The Gambian survey of tuberculosis prevalence (GAMSTEP),The Gambian Survey of Tuberculosis Prevalence (GAMSTEP),2014,The Gambia,National,Nationally representative,The Gambia (National)
